,10
0,1.9397092812438779
1,1.5356230317981705
2,1.2703006430472348
3,1.0685975475788763
4,0.874820027928875
5,0.7214566601468035
6,0.6126978278402062
7,0.4961297159588547
8,0.4186086504844916
9,0.3799857636749825
10,0.33201617238405434
11,0.28209206603054104
12,0.2534173358640103
13,0.22383028839453953
14,0.1922634630911405
15,0.15949899421977093
16,0.1627669351147702
17,0.13317653831190282
18,0.1532247129358926
19,0.11514498604932884
20,0.10366358816704344
21,0.09419491392067547
22,0.10875619598569825
23,0.08698068078259492
24,0.11102824036097494
25,0.08681978893255833
26,0.07145614115488545
27,0.06900995178841286
28,0.06895761203943312
29,0.08640730911323924
30,0.06696923333692777
31,0.05559128287962874
32,0.058095307640116334
33,0.05345854001102089
34,0.04608183432085609
35,0.046519349327913316
36,0.04734969934567063
37,0.08649910015781209
38,0.0475555988878052
39,0.05077690330834326
40,0.04240428600636725
41,0.05878292819729556
42,0.0685445137765556
43,0.05044305791349953
44,0.04725515400847176
45,0.041501665971820347
46,0.039940848455075
47,0.03583877297755991
48,0.03955301388919212
49,0.040574706511141
