,10
0,0.2846752405166626
1,0.43453991413116455
2,0.5506596565246582
3,0.6204330325126648
4,0.6896989345550537
5,0.7425575256347656
6,0.7827300429344177
7,0.8256089091300964
8,0.8520805239677429
9,0.8634979724884033
10,0.883457362651825
11,0.9026556015014648
12,0.9122124314308167
13,0.9193166494369507
14,0.9316644072532654
15,0.9437584280967712
16,0.9444350600242615
17,0.9550913572311401
18,0.9472259879112244
19,0.9603348970413208
20,0.9622800946235657
21,0.968623161315918
22,0.9621955156326294
23,0.9690459966659546
24,0.9604194760322571
25,0.9704837799072266
26,0.9745432734489441
27,0.9765730500221252
28,0.9769959449768066
29,0.973443865776062
30,0.9780108332633972
31,0.9824932217597961
32,0.9808863401412964
33,0.9823240637779236
34,0.986721932888031
35,0.9837618470191956
36,0.9834235310554504
37,0.9728518128395081
38,0.9851149916648865
39,0.983592689037323
40,0.9855378866195679
41,0.9808863401412964
42,0.9780954122543335
43,0.9829161167144775
44,0.985284149646759
45,0.9870601892471313
46,0.9862144589424133
47,0.988413393497467
48,0.987567663192749
49,0.9873985052108765
